0,1,2,3,4,5,6
21-11-20 11:59,1.33E+18,"@masmasjawabgt Saldonya buat nabung boleh ga mas? Kalo boleh aku ikutan kirim ke BNI, semog aja Bismillah",0,0,Twitter for Android,http://twitter.com/download/android
21-11-20 11:56,1.33E+18,"RT @hhjdinn: [Help RT]

Bismillah🙏🏻
Yukk aku jual jasa premium aplikasi✨ Proses cepat, aman dan yang pasti murah💪🏻 payment via:
✅ Dana
✅ BN…",27,0,Twitter for Android,http://twitter.com/download/android
21-11-20 11:54,1.33E+18,"@banjarbase Kalo aku kmrian BNI mbanking tinggal unintall terus install lagi, bikin password mbanking baru. Nomor m… https://t.co/Bf6u4MWTOe",0,0,Twitter for Android,http://twitter.com/download/android
21-11-20 23:51,1.33E+18,"@DORbertanya @BNI @BPJSTKinfo @KemnakerRI Saya BNI jg blm cair sampe skrg, padahal pas blt termin 1 cair di batch 2… https://t.co/TYfQnh6fPO",0,2,Twitter for Android,http://twitter.com/download/android
21-11-20 11:48,1.33E+18,"Transfer k No rekening
BRI 411401008723530
BCA 7771084161
BNI 0252850369
a/n Mohamad Ridwan, minta nama, alamat sma… https://t.co/B8us2d8XeI",0,0,twittbot.net,http://twittbot.net/
21-11-20 11:42,1.33E+18,Info lengkap mengenai Rejeki BNI Taplus 2014 klik https://t.co/DUT21d1V4l #RBT2014,0,0,twittbot.net,http://twittbot.net/
21-11-20 11:42,1.33E+18,Arkadaşlaaarrr beni görmütormusunuzz kalıcı takipçi için bni takip ediinn fav atın bn dönerim #ugurunsovmedigikisilertakiplesiyor,0,3,Twitter for Android,http://twitter.com/download/android
21-11-20 11:38,1.33E+18,"@milafitaa @halloveeee @chrisaldodarmwn Ojo mung mandiri.. BCA, BRI, BNI Yo gpp",0,0,Twitter for Android,http://twitter.com/download/android
21-11-20 11:30,1.33E+18,"🔮 WETV SHARING 🔮

♡ 3 bln = 20k
♡ 1 thn = 27k

✓ full garansi
✓ legal
✓ trusted

Payment : ovo,dana,shopeepay,gopay,bni,pulsa",0,0,Cubi.so,https://www.cub.so
21-11-20 11:30,1.33E+18,"⭐️ NETFLIX ANTI HOLD ⭐️

sharing 35.000
private 120.000

💳 BNI DANA OVO GOPAY",0,0,Cubi.so,https://www.cub.so
21-11-20 11:24,1.33E+18,"@navillera16_  atau melalui Kantor Cabang BNI terdekat. Untuk pengurusan kartu debit baru, dapat dilakukan di Caban… https://t.co/0qXlvbm3YF",0,0,BNI Socio Twitter,https://www.bni.co.id/id-id/
21-11-20 11:24,1.33E+18,"@navillera16_ Hai Kak Vihantika, maaf ya jadi tidak nyaman. Untuk kartu debit yang tertelan Kakak bisa melakukan pe… https://t.co/frdGFyrwDf",0,0,BNI Socio Twitter,https://www.bni.co.id/id-id/
21-11-20 11:22,1.33E+18,"@Jay_Pujay  merupakan nomor HP terdaftar, jika perangkat HP kakak dual SIM mohon SIM 2 dinonaktifkan sementara, tid… https://t.co/DXIEXMWriw",0,0,BNI Socio Twitter,https://www.bni.co.id/id-id/
21-11-20 11:22,1.33E+18,"@Jay_Pujay Halo Kak Mugiyanto, maaf banget ya atas kendalanya. Mengenai respon tersebut kami sarankan kakak mencoba… https://t.co/y2xudVeODI",0,0,BNI Socio Twitter,https://www.bni.co.id/id-id/
21-11-20 11:19,1.33E+18,"RT @berfirmanlah: halo, selamat pagi @gopayindonesia!

bismillah lapor tanpa ngata-ngatain. izin mengeluhkan masalah, saya melakukan transa…",1,0,NgataBotz,http://ngata92.com/
21-11-20 23:17,1.33E+18,@jummaray Maaf banget ya kak atas ketidkanyamanannya. Mengenai hal tersebut kami sarankan kakak melakukan pengeceka… https://t.co/uKbT0Wzo2y,0,0,BNI Socio Twitter,https://www.bni.co.id/id-id/
21-11-20 23:13,1.33E+18,"@marietapinky Hai Kak Pinky, dapat kami informasikan untuk pendaftaran BNI SMS Banking dapat kakak lakukan melalui… https://t.co/bmfOWltAM7",0,0,BNI Socio Twitter,https://www.bni.co.id/id-id/
21-11-20 23:12,1.33E+18,"RT @Buya_Albahjah: ZAKAT MEMBERSIHKAN HARTA KITA

Salurkan zakat terbaik Anda, agar harta lebih berkah melalui :

BNI Syariah
07200 42000
K…",23,0,Twitter Web App,https://mobile.twitter.com
21-11-20 23:11,1.33E+18,@KemnakerRI Termin 1 saya dapat tahap 2 tapi termin 2 belum ada kejelasan apakah nama saya dicoret dari daftar BSU… https://t.co/Xo4mev7AV3,0,0,Twitter for Android,http://twitter.com/download/android
21-11-20 23:10,1.33E+18,"@Heenny_AR Hai Kak Henny, dapat kami informasikan untuk saat ini layanan BNI Weekend Banking masih belum beroperasi… https://t.co/aVa1ajyg6Z",0,0,BNI Socio Twitter,https://www.bni.co.id/id-id/
21-11-20 23:00,1.33E+18,"@BPJSTKinfo Pagi juga sahabat, klo melalui BNI Bekasi kota cabang mana yg melayani ya",0,0,Twitter for Android,http://twitter.com/download/android
21-11-20 22:48,1.33E+18,"Setelah order dan barang yg kamu pesan tersedia, kamu bisa melakukan pembayaran transfer via BCA, CIMB niaga, BRI &amp; BNI",0,0,twittbot.net,http://twittbot.net/
21-11-20 22:43,1.33E+18,"RT @bibibleeid: – 𝕨𝕖𝕝𝕔𝕠𝕞𝕖 𝕥𝕠 𝕜𝕗𝕒𝕤𝕙𝕚𝕠𝕟.𝕚𝕕𝕟 –

 korean fashion &amp; korean stuff termurah !
 🧡 shopee? by request
 FREE SHIPPING –
 💵 BNI, DANA,…",1379,0,Twitter for Android,http://twitter.com/download/android
21-11-20 22:34,1.33E+18,"@BPJSTKinfo halo min data update yang pakek bri bni btn sudah dikirim ya dari dua minggu lalu, ini bpjs surabaya da… https://t.co/2xvJxdh4WX",0,0,Twitter for iPhone,http://twitter.com/download/iphone
21-11-20 22:30,1.33E+18,"RT @hhjdinn: [Help RT]

Bismillah🙏🏻
Yukk aku jual jasa premium aplikasi✨ Proses cepat, aman dan yang pasti murah💪🏻 payment via:
✅ Dana
✅ BN…",27,0,Twitter for Android,http://twitter.com/download/android
